distance_km,time_of_day,day_of_week,is_peak_hour,is_cologne_bottleneck,delay_minutes,source,timestamp
50.0,14,2,0,0,12.0,real,2026-03-11T15:24:39.994894
50.0,14,2,0,0,9.0,real,2026-03-11T15:24:40.005512
50.0,14,2,0,0,7.0,real,2026-03-11T15:24:40.011995
50.0,14,2,0,0,42.0,real,2026-03-11T15:25:11.425467
50.0,14,2,0,0,17.0,real,2026-03-11T15:25:11.436657
50.0,14,2,0,0,10.0,real,2026-03-11T15:25:11.446668
50.0,14,2,0,0,43.0,real,2026-03-11T15:25:21.221459
50.0,14,2,0,1,24.0,real,2026-03-11T15:25:21.247036
50.0,14,2,0,0,9.0,real,2026-03-11T15:25:21.252997
50.0,14,2,0,0,47.0,real,2026-03-11T15:25:30.214434
50.0,14,2,0,0,43.0,real,2026-03-11T15:25:30.237718
50.0,14,2,0,0,1.0,real,2026-03-11T15:25:30.245806
50.0,14,2,0,0,11.0,real,2026-03-11T15:25:41.035773
50.0,14,2,0,0,4.0,real,2026-03-11T15:25:41.059730
50.0,14,2,0,0,10.0,real,2026-03-11T15:25:41.064602
23.970251311047647,17,3,0,1,15.8,synthetic,
14.95576265413603,18,6,1,0,0.3,synthetic,
47.51396196848443,7,3,0,1,3.8,synthetic,
16.15920473521839,7,1,0,0,4.2,synthetic,
52.161903445425345,17,1,1,0,3.3,synthetic,
56.74609060241124,17,4,0,1,9.8,synthetic,
20.035151043892306,3,1,0,0,0.3,synthetic,
57.551347073771595,10,0,0,0,5.5,synthetic,
99.57860568726618,15,6,1,0,11.9,synthetic,
63.984341795576995,1,4,0,0,1.7,synthetic,
29.90284752304542,23,2,1,0,7.2,synthetic,
47.85316310537864,20,3,1,0,1.7,synthetic,
58.07487424792388,22,2,0,0,6.7,synthetic,
50.29697433363212,15,4,0,0,1.8,synthetic,
61.23184866755647,1,5,0,0,9.7,synthetic,
44.249316854555346,11,5,1,0,2.4,synthetic,
96.93487249317037,1,3,0,0,0.5,synthetic,
16.369031315956267,21,3,0,0,3.8,synthetic,
57.565788440008525,5,2,0,1,4.5,synthetic,
51.810795037441515,17,5,0,0,0.9,synthetic,
40.606002468271754,15,1,0,1,3.5,synthetic,
73.0347656020629,3,3,0,0,0.0,synthetic,
10.636664267139734,0,6,0,0,4.5,synthetic,
54.602420016589,16,0,0,0,2.1,synthetic,
30.72889679889169,3,4,0,0,0.6,synthetic,
69.24726326760668,11,5,1,0,6.5,synthetic,
25.456465263717178,8,4,1,0,3.4,synthetic,
42.89097578188441,5,6,0,0,0.4,synthetic,
55.48288381307071,12,3,0,0,0.1,synthetic,
